Date,Name,Tweet Count,Stories
1st week: March 26 - April 01,Topic #1,79,leggings dress wear girls united wearing flight women fly
1st week: March 26 - April 01,Topic #2,65,dress code pass free employee policy employees flying
1st week: March 26 - April 01,Topic #3,25,united fly airlines flying flight policy
2nd week: April 02 - April 08,Topic #1,17,united flight airlines airline know worst fly hours take only
2nd week: April 02 - April 08,Topic #2,14,states finance kingdom take need united close bulls
2nd week: April 02 - April 08,Topic #3,13,flight hours lmao only hold delayed minutes connecting
3rd week: April 09 - April 15,Topic #1,805,united airlines flight passenger dragged overbooked plane doctor
3rd week: April 09 - April 15,Topic #2,139,fly airline skies friendly plane beat
3rd week: April 09 - April 15,Topic #3,16,ceo oscar munoz customers plane
4th week: April 16 - April 22,Topic #1,73,flight united airlines wedding seat flying couple booted airline bride
4th week: April 16 - April 22,Topic #2,51,united airlines plane beating fly man fired
4th week: April 16 - April 22,Topic #3,16,plane being dragged wedding passenger bride groom couple
5th week: April 23 - April 26,Topic #1,24,flight rabbit crew airlines giant dies animals united report dragged