	Favorites	Followers	Friends	Time
0	2066	884380	46716	2017-03-19 04:38:47
1	2066	884414	46715	2017-03-19 10:40:47
2	2066	884462	46715	2017-03-19 16:53:42
3	2070	884467	46713	2017-03-19 18:10:45
4	2070	884468	46713	2017-03-19 18:20:17
5	2070	884472	46713	2017-03-19 18:35:23
6	2070	884545	46710	2017-03-20 00:14:21
7	2070	884546	46710	2017-03-20 00:18:04
8	2070	884546	46710	2017-03-20 00:19:16
9	2070	884589	46708	2017-03-20 04:58:40
10	2070	884592	46708	2017-03-20 05:20:38
11	2070	884606	46708	2017-03-20 06:59:46
12	2070	884637	46708	2017-03-20 11:34:05
13	2070	884619	46707	2017-03-20 13:08:23
14	2070	884643	46707	2017-03-20 14:57:37
15	2070	884678	46708	2017-03-20 18:15:34
16	2074	884739	46707	2017-03-21 02:32:02
17	2074	884806	46705	2017-03-21 11:40:12
18	2074	884865	46705	2017-03-21 16:48:11
19	2074	884920	46702	2017-03-21 19:57:10
20	2074	884937	46703	2017-03-21 21:03:42
21	2074	884996	46702	2017-03-22 04:35:16
22	2080	885170	46701	2017-03-22 23:58:42
23	2080	885205	46702	2017-03-23 13:51:44
24	2086	885299	46703	2017-03-23 19:46:16
25	2086	885326	46703	2017-03-23 20:48:58
26	2086	885344	46703	2017-03-23 21:44:18
27	2086	885361	46703	2017-03-23 22:52:11
28	2086	885393	46701	2017-03-24 05:08:19
29	2086	885417	46701	2017-03-24 11:40:54
30	2095	885445	46700	2017-03-24 15:32:48
31	2095	885458	46700	2017-03-24 16:08:19
32	2095	885464	46700	2017-03-24 16:46:44
33	2095	885499	46698	2017-03-24 19:45:26
34	2095	885539	46698	2017-03-24 22:33:51
35	2095	885556	46699	2017-03-24 23:39:31
36	2095	885614	46697	2017-03-25 07:19:29
37	2095	885613	46697	2017-03-25 07:40:42
38	2095	885614	46697	2017-03-25 08:05:29
39	2095	885616	46697	2017-03-25 08:12:51
40	2095	885620	46697	2017-03-25 09:05:11
41	2095	885663	46697	2017-03-25 14:02:39
42	2095	885686	46697	2017-03-25 16:45:55
43	2096	885716	46696	2017-03-25 18:54:35
44	2096	885723	46697	2017-03-25 22:11:36
45	2096	885727	46697	2017-03-25 22:49:53
46	2096	885730	46697	2017-03-26 01:31:59
47	2095	885614	46697	2017-03-25 07:19:29
48	2095	885613	46697	2017-03-25 07:40:42
49	2095	885614	46697	2017-03-25 08:05:29
50	2095	885616	46697	2017-03-25 08:12:51
51	2095	885620	46697	2017-03-25 09:05:11
52	2095	885663	46697	2017-03-25 14:02:39
53	2095	885686	46697	2017-03-25 16:45:55
54	2096	885716	46696	2017-03-25 18:54:35
55	2096	885723	46697	2017-03-25 22:11:36
56	2096	885727	46697	2017-03-25 22:49:53
57	2096	885730	46697	2017-03-26 01:31:59
58	2096	885768	46697	2017-03-26 11:47:07
59	2096	885772	46697	2017-03-26 12:53:20
60	2096	885778	46697	2017-03-26 13:15:30
61	2096	885851	46697	2017-03-26 16:41:25
62	2096	885871	46697	2017-03-26 17:21:47
63	2096	886011	46697	2017-03-26 19:13:11
64	2096	886145	46697	2017-03-26 20:18:08
65	2096	887724	46696	2017-03-27 19:58:09
66	2096	887820	46695	2017-03-27 21:23:08
67	2096	888258	46690	2017-03-28 09:58:37
68	2097	888711	46692	2017-03-29 09:11:16
69	2097	888710	46692	2017-03-29 09:14:46
70	2097	888753	46692	2017-03-29 11:44:03
71	2097	888816	46691	2017-03-29 15:37:04
72	2097	889073	46688	2017-03-30 08:09:22
73	2097	889115	46687	2017-03-30 13:58:40
74	2097	889118	46686	2017-03-30 15:43:14
75	2097	889119	46686	2017-03-30 15:54:01
76	2097	889178	46687	2017-03-30 20:26:32
77	2097	889182	46686	2017-03-30 21:42:02
78	2097	889196	46685	2017-03-31 00:01:21
79	2097	889199	46685	2017-03-31 00:28:38
80	2097	889227	46687	2017-03-31 05:17:10
81	2098	889288	46687	2017-03-31 13:51:39
82	2099	889287	46685	2017-03-31 15:33:43
83	2099	889292	46685	2017-03-31 15:54:29
84	2099	889291	46685	2017-03-31 16:26:32
85	2099	889351	46682	2017-03-31 21:41:35
86	2099	889387	46682	2017-04-01 00:36:27
87	2099	889398	46682	2017-04-01 01:38:36
88	2099	889450	46681	2017-04-01 06:31:26
89	2099	889482	46681	2017-04-01 11:29:47
90	2099	889483	46681	2017-04-01 11:36:15
91	2099	889493	46681	2017-04-01 12:40:39
92	2099	889502	46681	2017-04-01 13:43:00
93	2099	889575	46679	2017-04-01 19:29:26
94	2099	889659	46678	2017-04-01 23:15:30
95	2099	889671	46678	2017-04-01 23:55:21
96	2099	889732	46675	2017-04-02 10:44:50
97	2099	889787	46676	2017-04-02 17:22:41
98	2099	889868	46678	2017-04-02 23:48:50
99	2099	889878	46678	2017-04-03 00:21:11
100	2099	889894	46679	2017-04-03 01:45:48
101	2099	889896	46679	2017-04-03 01:47:41
102	2099	889904	46679	2017-04-03 02:31:02
103	2099	889923	46678	2017-04-03 08:23:29
104	2099	889938	46678	2017-04-03 11:41:58
105	2099	889951	46678	2017-04-03 12:26:19
106	2099	889960	46678	2017-04-03 15:55:00
107	2099	889985	46677	2017-04-03 19:01:32
108	2103	890042	46675	2017-04-04 02:25:12
109	2103	890053	46675	2017-04-04 08:46:37
110	2103	890052	46675	2017-04-04 10:24:51
111	2106	890095	46675	2017-04-04 16:04:40
112	2108	890120	46676	2017-04-04 19:54:54
113	2108	890157	46675	2017-04-05 02:05:36
114	2108	890185	46674	2017-04-05 04:02:38
115	2108	890192	46674	2017-04-05 05:07:06
116	2108	890230	46674	2017-04-05 09:02:13
117	2108	890249	46674	2017-04-05 10:56:59
118	2108	890277	46675	2017-04-05 14:20:21
119	2110	890317	46672	2017-04-05 19:04:07
120	2110	890349	46670	2017-04-05 21:17:24
121	2109	890564	46669	2017-04-06 15:25:10
122	2111	890627	46669	2017-04-06 18:46:04
123	2111	890666	46666	2017-04-06 20:58:59
124	2119	890878	46665	2017-04-07 15:23:52
125	2119	890891	46665	2017-04-07 16:17:54
126	2121	890953	46664	2017-04-07 20:09:25
127	2121	891012	46666	2017-04-08 00:38:17
128	2122	891060	46668	2017-04-08 06:22:39
129	2122	891074	46667	2017-04-08 08:33:01
130	2122	891109	46667	2017-04-08 12:01:31
131	2122	891138	46667	2017-04-08 14:00:08
132	2122	891150	46668	2017-04-08 15:02:32
133	2122	891149	46668	2017-04-08 15:07:26
134	2122	891170	46668	2017-04-08 15:52:09
135	2122	891205	46668	2017-04-08 17:24:49
136	2122	891242	46668	2017-04-08 20:07:15
137	2122	891278	46668	2017-04-08 22:18:41
138	2122	891408	46667	2017-04-09 12:33:32
139	2122	891416	46667	2017-04-09 13:08:07
140	2122	891452	46666	2017-04-09 15:20:00
141	2122	891462	46666	2017-04-09 15:44:40
142	2122	891482	46666	2017-04-09 17:00:16
143	2122	891535	46666	2017-04-09 18:42:36
144	2122	891536	46665	2017-04-09 19:34:09
145	2122	891560	46665	2017-04-09 21:27:55
146	2122	891571	46665	2017-04-09 22:25:48
147	2121	911402	46654	2017-04-14 05:54:16
148	2122	911767	46654	2017-04-14 17:48:30
149	2122	912515	46650	2017-04-16 03:59:59
150	2122	912555	46650	2017-04-16 07:41:43
151	2122	912761	46649	2017-04-16 19:42:43
152	2122	912846	46648	2017-04-16 23:06:14
153	2125	913158	46648	2017-04-17 19:36:58
154	2124	913309	46649	2017-04-18 07:23:43
155	2125	913509	46650	2017-04-19 04:22:42
156	2125	913555	46649	2017-04-19 13:37:23
157	2126	913634	46645	2017-04-19 20:56:57
158	2126	913691	46645	2017-04-20 06:28:24
159	2126	913734	46645	2017-04-20 13:31:25
160	2127	913760	46645	2017-04-20 14:36:42
161	2127	913768	46645	2017-04-20 14:53:12
162	2127	913821	46644	2017-04-20 20:41:59
163	2127	913821	46644	2017-04-20 20:43:24
164	2129	914203	46642	2017-04-21 16:59:55
165	2129	914210	46642	2017-04-21 17:31:00
166	2129	914219	46642	2017-04-21 18:27:41
167	2129	914220	46642	2017-04-21 18:29:41
168	2129	914220	46642	2017-04-21 18:42:44
169	2129	914268	46642	2017-04-22 02:41:04
170	2129	914323	46642	2017-04-22 12:08:13
171	2129	914376	46641	2017-04-22 15:32:10
172	2129	914379	46641	2017-04-22 15:48:25
173	2129	914492	46637	2017-04-23 06:16:02
174	2129	914533	46636	2017-04-23 14:12:25
175	2129	914584	46634	2017-04-23 20:00:39
176	2129	914606	46636	2017-04-23 22:58:26
177	2129	914663	46636	2017-04-24 03:58:29
178	2129	914666	46636	2017-04-24 04:08:49
179	2129	914679	46636	2017-04-24 06:05:03
180	2129	914680	46636	2017-04-24 07:32:02
181	2129	914693	46636	2017-04-24 10:30:33
182	2129	914699	46636	2017-04-24 11:33:25
183	2130	914886	46633	2017-04-25 12:22:10
184	2130	914899	46632	2017-04-25 14:16:50
185	2132	915018	46625	2017-04-26 06:56:20
186	2132	915012	46625	2017-04-26 08:22:35
187	2132	915023	46625	2017-04-26 11:13:41
188	2132	915025	46625	2017-04-26 11:46:26
